City Name	Zone Name	Ward Name	Ward No.	Area (in sq km)	Total Population (in thousands)	Population - Male (in thousands)	Population - female (in thousands)	population - children aged 0-14 (in thousands)	Population - youth aged 15-24 (in thousands)	Population - adults aged 25-60 (in thousands)	Population - Senior citizens aged 60+ (in thousands)
Bhubaneswar	North Zone	NA	W9	0.173219119	13.932	7.302	6.63	1.128	1.529	NA	NA
Bhubaneswar	South-West Zone	NA	W25	0.45483051	13.508	7.068	6.44	0.569	0.322	NA	NA
Bhubaneswar	South-West Zone	NA	W51	0.353059809	12.138	6.519	5.619	0.881	0.602	NA	NA
Bhubaneswar	South-East Zone	NA	W56	0.46712734	11.228	5.853	5.375	0.856	0.373	NA	NA
Bhubaneswar	North Zone	NA	W6	0.157414544	13.547	6.757	6.79	0.46	0.554	NA	NA
Bhubaneswar	North Zone	NA	W7	0.449115027	13.698	7.188	6.51	0.824	0.739	NA	NA
Bhubaneswar	North Zone	NA	W13	0.734747634	13.287	7.002	6.285	1.243	0.959	NA	NA
Bhubaneswar	South-West Zone	NA	W27	0.651426047	12.039	6.293	5.746	0.82	0.29	NA	NA
Bhubaneswar	North Zone	NA	W12	0.124595656	13.243	7.454	5.789	1.336	0.832	NA	NA
Bhubaneswar	North Zone	NA	W11	0.366569057	11.834	6.235	5.599	1.076	0.919	NA	NA
Bhubaneswar	North Zone	NA	W17	0.26113185	12.238	6.334	5.904	1.963	1.365	NA	NA
Bhubaneswar	North Zone	NA	W26	1.904543356	12.167	6.516	5.651	1.479	1.165	NA	NA
Bhubaneswar	North Zone	NA	W21	2.225531651	11.32	5.93	5.39	1.283	1.714	NA	NA
Bhubaneswar	South-West Zone	NA	W24	0.301532377	13.636	7.127	6.509	0.571	0.453	NA	NA
Bhubaneswar	North Zone	NA	W16	0.310550306	11.404	6.069	5.335	0.952	1.984	NA	NA
Bhubaneswar	South-East Zone	NA	W30	0.404761664	12.22	6.348	5.872	0.441	0.47	NA	NA
Bhubaneswar	South-East Zone	NA	W34	0.551555383	13.013	6.854	6.159	1.108	0.319	NA	NA
Bhubaneswar	South-East Zone	NA	W29	0.477210676	11.518	6.115	5.403	1.198	0.43	NA	NA
Bhubaneswar	South-East Zone	NA	W35	0.437029699	14.13	7.436	6.694	1.392	0.274	NA	NA
Bhubaneswar	South-East Zone	NA	W40	0.28770801	13.179	7.069	6.11	1.621	0.594	NA	NA
Bhubaneswar	South-East Zone	NA	W28	0.456063298	12.23	6.386	5.844	1.025	1.654	NA	NA
Bhubaneswar	South-East Zone	NA	W36	0.233083656	11.509	6.058	5.451	1.783	0.851	NA	NA
Bhubaneswar	South-West Zone	NA	W46	0.366516953	11.804	6.128	5.676	1.843	0.281	NA	NA
Bhubaneswar	South-West Zone	NA	W37	0.425837946	11.679	6.079	5.6	0.737	0.403	NA	NA
Bhubaneswar	South-West Zone	NA	W38	0.783957616	11.916	6.118	5.798	0.694	0.113	NA	NA
Bhubaneswar	South-West Zone	NA	W39	0.512166861	12.716	6.734	5.982	0.587	0.249	NA	NA
Bhubaneswar	South-West Zone	NA	W63	0.367407278	12.241	6.458	5.783	0.647	0.215	NA	NA
Bhubaneswar	South-West Zone	NA	W50	0.202026061	11.795	6.379	5.416	0.771	0.133	NA	NA
Bhubaneswar	North Zone	NA	W19	0.531553693	14.071	7.505	6.566	0.483	0.502	NA	NA
Bhubaneswar	South-East Zone	NA	W31	0.395539195	11.633	6.328	5.305	0.803	0.107	NA	NA
Bhubaneswar	South-East Zone	NA	W33	0.562579717	12.453	6.754	5.699	0.517	0.197	NA	NA
Bhubaneswar	South-East Zone	NA	W42	0.596562024	13.272	6.951	6.321	1.596	0.072	NA	NA
Bhubaneswar	South-East Zone	NA	W43	0.762753296	13.773	7.265	6.508	0.71	0.118	NA	NA
Bhubaneswar	South-East Zone	NA	W45	0.809699784	11.376	6.023	5.353	0.386	0.256	NA	NA
Bhubaneswar	South-East Zone	NA	W54	0.710532013	13.318	7.032	6.286	0.556	0.05	NA	NA
Bhubaneswar	North Zone	NA	W20	1.12678781	11.677	6.267	5.41	0.971	1.568	NA	NA
