StateName	DistrictName	BlockName	GramPanchayatName	IHHLTotalAsPerDetails	IHHLTotalAch	Date
Odisha	BOUDH	BOUDH	AINLAPALI	1193	1193	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	AMBAJHARI	1206	1206	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	BADHIGAON	1525	1525	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	BAGHIAPADA	1315	1315	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	BAHIRA	1490	1490	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	BAUNSUNI	1134	1134	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	BRAHMANIPALI	924	924	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	GOCHHAPADA	1276	1276	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	GUNDULIA	1358	1358	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	KASURBANDHA	821	821	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	KHALIAPALI	840	840	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	KHUNTABANDHA	1424	1424	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	LAXMIPRASAD	1017	1017	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	MANUPALI	1462	1462	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	MUNDAPADA	1165	1165	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	MUNDIPADAR	1416	1416	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	MURUSUNDHI	1093	1093	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	PADMANPUR	993	993	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	ROXA	993	993	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	SAGADA	1301	1301	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	TALASARADA	1413	1413	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	TELIBANDHA	1393	1393	5/19/2020 12:00:00 AM
Odisha	BOUDH	BOUDH	TIKARAPADA	1149	1149	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	ADENIGARH	1297	1297	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	BAMANDA	1660	1660	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	BANDHAPATHAR	1021	1021	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	BANIBHUSANPUR	1091	1091	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	BIRANAR ASINGHPUR	1444	1444	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	CHHATRANGA	1197	1197	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	DHALPUR	1199	1199	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	HARABHANGA	1800	1800	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	KARANJAKATA	935	935	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	KUSANGA	1138	1138	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	LUNIBAHAL	1359	1359	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	MAHALIKPADA	1087	1087	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	MATHURA	1150	1150	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	PITAMBARPUR	910	910	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	PURUNAKATAK	1480	1480	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	RADHANAGAR	954	954	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	RAMAGARH	1194	1194	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	SAMPOCH	1294	1294	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	SANKULEI	1124	1124	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	SARASARA	1676	1676	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	TALAGAON	1236	1236	5/19/2020 12:00:00 AM
Odisha	BOUDH	HARABHANGA	TILESWAR	1578	1578	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	AMBAGAON	1244	1244	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	BARAGAON	2101	2101	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	BARAGOCHHA	1159	1159	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	BILASPUR	1623	1623	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	DAPALA	1628	1628	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	GHANTAPADA	1752	1752	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	GHIKUNDI	730	730	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	GUDVELIPADAR	1080	1080	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	JOGINDRAPUR	1057	1057	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	KANTAMAL	1506	1506	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	KHALIAPALI	766	766	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	KHAMANMUNDA	1044	1044	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	KHATAKHATIA	1971	1971	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	KHUNTIGORA	1002	1002	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	KULTAJORE	1613	1613	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	LAMBASARI	1547	1547	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	MANAMUNDA	2090	2090	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	NARAYANPRASAD	1473	1473	5/19/2020 12:00:00 AM
Odisha	BOUDH	KANTAMAL	PALASAGORA	1756	1756	5/19/2020 12:00:00 AM
