StateName	DistrictName	BlockName	GramPanchayatName	IHHLTotalAsPerDetails	IHHLTotalAch	Date
Odisha	KALAHANDI	BHAWANIPATNA	ARTAL	1308	1308	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	BORABHATA	492	492	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	BORDA	808	808	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	CHAHAGAON	530	530	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	CHANCHER	490	490	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	CHHELIAMAL	875	875	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	DADPUR	1318	1318	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	DEYPUR	1090	1090	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	DUARSUNI	1112	1112	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	DUMURIA	699	699	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	GAND-BARAJHOLA	771	771	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	GUDIALIPADAR	1154	1154	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	GURJUNG	431	431	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	JUGSAIPATNA	508	508	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	KALAM	1166	1166	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	KAMATHANA	1770	1770	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	KARALAPADA	1103	1103	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	KARLAGUDA	561	561	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	KENDUPATI	468	468	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	KULIAMAL	672	672	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	KUTRUKHAMAR	647	647	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	LAXMIPUR	338	338	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	MADIGUDA	688	688	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	MALGAON	1142	1142	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	MATIA	588	588	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	MEDNIPUR	1534	1534	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	PALNA	961	961	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	PALSIJHARAN	725	725	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	RISIGAON	842	842	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	SAGADA	914	914	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	SEINPUR	691	691	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	SIKUAN	494	494	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	SRIPUR	537	537	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	TAL-BELGAON	572	572	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	THUAPADAR	1426	1426	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	BHAWANIPATNA	UDEPUR	532	532	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	BAD GHUMER	298	298	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	BADBASUL	1055	1055	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	BADFURLA	607	607	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	BAGAD	623	623	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	BEHERA	1118	1118	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	BODEN	1129	1129	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	BRAMHANCHHENDIA	950	950	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	CHHANCHANBAHALI	958	958	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	CHHILPA	1671	1671	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	DHANARPUR	721	721	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	DUMARGUDA	1347	1347	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	GADIAJORE	1360	1360	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	JAYANTAPUR	601	601	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	KADALIMUNDA	312	312	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	KANGAON	508	508	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	KANKERI	562	562	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	KHAIRAPADAR	835	835	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	NANDAGAON	746	746	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	PARLA	1327	1327	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	SANDHIKULIHARI	337	337	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	TAMBACHHADA	1148	1148	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	TARAPUR	1982	1982	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	TENDAPALI	1189	1189	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	DHARAMAGARH	TIPIGUDA	1609	1609	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	BADACHERGAON	1128	1128	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	BORDI	328	328	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	BORGUDA	931	931	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	BRUNDABAHAL	1017	1017	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	CHAHAKA	735	735	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	CHAPRIA	760	760	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	CHICHIA	1066	1066	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	DASPUR	875	875	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	DHAMANPUR	1113	1113	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	FARANGA	699	699	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	FUNDA	639	639	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	GANDEMER	615	615	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	GOLAMUNDA	1026	1026	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	KEGAON	646	646	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	KHALIAKANI	575	575	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	KHALIAPALI	748	748	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	KHAMBALDI	1105	1105	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	KUHURA	684	684	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	LETER	584	584	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	MAHALING	649	649	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	MANJHARI	849	849	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	NAKTIKANI	887	887	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	NUAGAON	859	859	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	RENGSAPALI	1009	1009	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	SINAPALI	710	710	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	TEMARI	505	505	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	UCHHALA	900	900	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	GOLAMUNDA	UDESHRUNGA	547	547	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	JAYAPATNA	AINABHATA	817	817	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	JAYAPATNA	BADAPUJARIGUDA	946	946	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	JAYAPATNA	BADATEMRI	366	366	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	JAYAPATNA	BADKARLAKOT	958	958	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	JAYAPATNA	BANDIGAON	769	769	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	JAYAPATNA	BANER	1002	1002	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	JAYAPATNA	BHAINRIPALI	972	972	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	JAYAPATNA	BHEJIGUDA	452	452	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	JAYAPATNA	DHANSULI	878	878	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	JAYAPATNA	HIRAPUR	393	393	5/19/2020 12:00:00 AM
Odisha	KALAHANDI	JAYAPATNA	JAIPATNA	1804	1804	5/19/2020 12:00:00 AM
