StateName	DistrictName	BlockName	GramPanchayatName	IHHLTotalAsPerDetails	IHHLTotalAch	Date
Odisha	KHORDHA	BALIANTA	BAINCHUA	1001	1001	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	BALIANTA	1639	1639	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	BENTAPUR	653	653	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	BENUPUR	721	721	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	BHINGARAPUR	1734	1734	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	JAGANNATHPUR	1473	1473	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	JAYADEBA	1074	1074	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	JHINTI SASAN	1335	1335	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	KAKARUDRAPUR	1746	1746	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	PRATAP SASAN	1710	1710	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	PRATAPRUDRAPUR	1144	1144	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	PURANAPRADHAN	1466	1466	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	PUROHITPUR	612	612	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	SARAKANA	1405	1405	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	SATYABHAMAPUR	804	804	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIANTA	UMADEIBERHAMPUR	1119	1119	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	ALISISASANA	915	915	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	AMANAKUDA	1271	1271	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	ATHANTARA	250	250	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	BHAKARASAHI	1127	1127	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	BHAPUR	937	937	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	DEULIDHARPUR	1263	1263	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	GAREDIPANCHANA	1738	1738	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	GUAPUR	1020	1020	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	KURUNJIPUR	1585	1585	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	MAJHIHARA	1306	1306	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	MARTHAPUR	986	986	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	MUKUNDADASPUR	818	818	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	NARISO	1670	1670	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	PAMPALO	1663	1663	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	RAJASO	1453	1453	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	SOMANASASAN	1828	1828	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BALIPATNA	TURINTIRA	1608	1608	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	AYATPUR	1453	1453	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	BHABANIPUR	653	653	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	BISHNUDIHA	789	789	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	DAMIABARABARA	936	936	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	DEOGAON	1303	1303	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	GALUA	2571	2571	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	GAMBHARIMUNDA	1098	1098	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	KULEI	1432	1432	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	KUMARANGASASANA	1491	1491	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	MORAMORI	888	888	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	NACHUNI	1243	1243	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	NANDAPUR	2044	2044	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	NARENDRAPUR	1877	1877	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	NILADRIPRASAD	917	917	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	TORASINGH	883	883	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	TUMURAPUT	2015	2015	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BANAPUR	VETESWAR	2336	2336	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BEGUNIA	BADABERANA	743	743	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BEGUNIA	BAGHAMARI	1271	1271	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BEGUNIA	BEGUNIA	1804	1804	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BEGUNIA	BOTALAMA	1008	1008	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BEGUNIA	DEULI	1649	1649	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BEGUNIA	DINGARA	879	879	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BEGUNIA	DURGAPUR	1293	1293	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BEGUNIA	GADAMANITRI	653	653	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BEGUNIA	GOBINDAPUR	538	538	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BEGUNIA	HAJA	1382	1382	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BEGUNIA	HIRAPUR	835	835	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BEGUNIA	KANTABADA	1059	1059	5/19/2020 12:00:00 AM
Odisha	KHORDHA	BEGUNIA	KUNJURI	1524	1524	5/19/2020 12:00:00 AM
